,Label1,Label2,Count_normalized
6525,Bacterial type II/III secretion system short domain,"SPI-1 type 3 secretion system secretin, N0 domain",1.1
1655,Cna protein B-type domain,Toxin PAAR-like domain,1.61
8325,ABC transporter transmembrane region,Double-stranded RNA binding motif,1.79
8324,ABC transporter transmembrane region,Ribonuclease-III-like,1.79
9178,Domain of unknown function (DUF5753),"Winged helix-turn-helix transcription repressor, HrcA DNA-binding",1.39
9165,Domain of unknown function (DUF5753),HrcA protein C terminal domain,1.39
2481,MacB-like periplasmic core domain,Sodium/hydrogen exchanger family,1.61
4460,CHC2 zinc finger,"Ribonucleotide reductase, all-alpha domain",1.79
16635,Type II transport protein GspH,Type IV Pilus-assembly protein W,1.39
2209,Cna protein B-type domain,"Gram-positive pilin backbone subunit 2, Cna-B-like domain",1.95
4450,Putative cell wall binding repeat,ell wall binding domain 2 (CWB2),2.2
8450,Beta-Casp domain,Family of unknown function (DUF6290),1.1
5678,ABC transporter C-terminal domain,"Rho termination factor, RNA-binding domain",1.1
5675,ABC transporter C-terminal domain,"ATP synthase alpha/beta family, nucleotide-binding domain",1.1
7748,Flavodoxin domain,Nitroreductase family,1.1
7749,Antibiotic biosynthesis monooxygenase,Flavodoxin domain,1.1
8460,Beta-Casp domain,Beta-lactamase superfamily domain,1.1
17164,Pectate lyase superfamily protein,Tryptophan-ring motif of head of Trimeric autotransporter adhesin,1.1
5196,"Helix-turn-helix domain, rpiR family","Schlafen, AlbA_2",1.79
5021,Clostridial hydrophobic W,NPCBM/NEW2 domain,1.61
2246,Concanavalin A-like lectin/glucanases superfamily,F5/8 type C domain,2.4
9336,CopC domain,"Sigma-70, region 4",1.79
9335,Copper resistance protein D,"Sigma-70, region 4",1.79
9485,Glycosyl transferase 4-like domain,Glycosyltransferase Family 4,1.61
5553,Glycosyltransferase Family 4,Peptidase family U32 C-terminal domain,1.61
5554,Glycosyltransferase Family 4,Peptidase family U32,1.61
6852,DNA / pantothenate metabolism flavoprotein,FAD-binding domain,1.1
6850,DNA / pantothenate metabolism flavoprotein,Ferric reductase NAD binding domain,1.1
12444,RNB domain,S1 RNA binding domain,1.61
13290,Iron-sulfur cluster-binding domain,Peptidase family M20/M25/M40,1.39
13279,Iron-sulfur cluster-binding domain,Peptidase dimerisation domain,1.39
1656,Toxin PAAR-like domain,von Willebrand factor type A domain,1.61
2922,"Binding-prot-dependent transport system membrane comp, N-term",Voltage gated chloride channel,1.39
18094,Ribosomal protein S4/S9 N-terminal domain,Stage II sporulation protein E (SpoIIE),1.61
6091,"Bacterial regulatory proteins, lacI family",Glycosyl transferase family 2,1.95
5342,"Bacterial regulatory helix-turn-helix protein, lysR family",Ribosomal proteins 50S L24/mitochondrial 39S L24,1.79
5341,LysR substrate binding domain,Ribosomal proteins 50S L24/mitochondrial 39S L24,1.79
3515,Helix-turn-helix domain of resolvase,His Kinase A (phospho-acceptor) domain,2.89
727,Surface adhesin CshA repetitive domain,Terminase RNaseH-like domain,1.1
6992,OB-fold nucleic acid binding domain,TilS substrate C-terminal domain,1.61
3088,"Asparaginase, N-terminal","Bacterial regulatory proteins, lacI family",1.61
3087,"Bacterial regulatory proteins, lacI family",Glutaminase/Asparaginase C-terminal domain,1.61
3753,"L,D-transpeptidase catalytic domain",LysM domain,2.08
14725,Neisseria PilC beta-propeller domain,Peptidase family C25,1.61
15120,"Bifunctional DNA primase/polymerase, N-terminal",LAGLIDADG-like domain,1.95
2948,Bacterial Ig-like domain (group 3),Family of unknown function (DUF5689),1.61
8055,Domain of unknown function (DUF2341),LPXTG cell wall anchor motif,1.79
9496,AP2 domain,"Initiator Replication protein, WH1",2.08
9493,AP2 domain,"Initiator Rep protein, WH2",2.08
9261,Replication initiation and membrane attachment,Replication initiator protein A C-terminal domain,1.1
16108,Short C-terminal domain,Tubulin like,1.1
7759,Domain of unknown function (DUF4129),"Initiator Rep protein, WH2",2.08
7762,Domain of unknown function (DUF4129),"Initiator Replication protein, WH1",2.08
11064,"LigD, primase-polymerase domain","Microbial-type PARG, catalytic domain",1.1
11067,"DNA gyrase/topoisomerase IV, subunit A","LigD, primase-polymerase domain",1.1
10830,Carbohydrate binding domain (family 25),S-layer homology domain,1.95
5577,"BRO family, N-terminal domain",Winged helix-turn-helix DNA-binding,1.61
15859,Cadherin domain,HYR domain,1.61
2078,Prealbumin-like fold domain,Putative Ig domain,2.48
2751,"Bacterial extracellular solute-binding proteins, family 3",PAS fold,3.22
11818,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Protein similar to CwfJ C-terminus 2,2.94
11816,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Protein similar to CwfJ C-terminus 1,2.94
17892,Retroviral aspartyl protease,Zinc knuckle,1.61
4439,LPXTG cell wall anchor motif,Thioester domain,2.08
10670,Glucose inhibited division protein A,SpoU rRNA Methylase family,1.39
2269,Cleaved Adhesin Domain,FIVAR domain,1.95
7459,Carboxypeptidase regulatory-like domain,"Lactonase, 7-bladed beta-propeller",1.61
8299,Putative ATP-dependent DNA helicase recG C-terminal,S1 RNA binding domain,1.79
104,Glyoxal oxidase N-terminus,Starch-binding associating with outer membrane,1.61
110,"Galactose oxidase-like, Early set domain",SusD family,1.61
111,Glyoxal oxidase N-terminus,SusD family,1.61
103,"Galactose oxidase-like, Early set domain",Starch-binding associating with outer membrane,1.61
8813,Chitin recognition protein,FIVAR domain,2.2
7799,Toprim domain,Toprim-like,2.48
183,"DNA polymerase III delta subunit, C-terminal domain",Peptidase family M41,1.61
142,BspA type Leucine rich repeat region (6 copies),Right handed beta helix region,2.94
5736,Mga helix-turn-helix domain,"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",1.61
18061,Retrotransposon gag protein,Zinc knuckle,1.39
2157,RloB-like protein,ThiF family,1.1
1508,SpoIVB peptidase S55,Vault protein inter-alpha-trypsin domain,1.1
8362,Putative threonine/serine exporter,"phosphotransferase system, EIIB",1.1
248,Heterokaryon incompatibility protein Het-C,Large polyvalent protein associated domain 23,1.1
16452,"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus",Type IV leader peptidase family,1.1
8565,"Alanine dehydrogenase/PNT, N-terminal domain",N-terminal domain of 16S rRNA methyltransferase RsmF,1.1
249,Large polyvalent protein associated domain 23,PAAR motif,1.1
8572,"Alanine dehydrogenase/PNT, C-terminal domain",RNA-binding PUA-like domain of methyltransferase RsmF,1.1
8043,Alpha-L-fucosidase,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,1.61
8361,"Phosphotransferase system, EIIC",Putative threonine/serine exporter,1.1
1505,Polyphenol oxidase middle domain,SpoIVB peptidase S55,1.1
336,Hpt domain,PAS fold,3.18
7212,Outer membrane efflux protein,"phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1",1.1
8366,"Phosphotransferase system, EIIC","Threonine/Serine exporter, ThrE",1.1
8365,"Threonine/Serine exporter, ThrE","phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1",1.1
8360,Putative threonine/serine exporter,"phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1",1.1
16109,Bacterial PH domain,"Tubulin/FtsZ family, GTPase domain",1.1
16110,Bacterial PH domain,"Tubulin-like CetZ, C-terminal",1.1
8564,"Alanine dehydrogenase/PNT, C-terminal domain",N-terminal domain of 16S rRNA methyltransferase RsmF,1.1
7214,Outer membrane efflux protein,"phosphotransferase system, EIIB",1.1
8577,"Alanine dehydrogenase/PNT, N-terminal domain",RsmF rRNA methyltransferase first C-terminal domain,1.1
1506,Common central domain of tyrosinase,SpoIVB peptidase S55,1.1
7213,Outer membrane efflux protein,"Phosphotransferase system, EIIC",1.1
8576,"Alanine dehydrogenase/PNT, C-terminal domain",RsmF rRNA methyltransferase first C-terminal domain,1.1
8573,"Alanine dehydrogenase/PNT, N-terminal domain",RNA-binding PUA-like domain of methyltransferase RsmF,1.1
16450,Bacterial Peptidase A24 N-terminal domain,"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus",1.1
8367,"Threonine/Serine exporter, ThrE","phosphotransferase system, EIIB",1.1
13459,Cupin domain,Peptidase M16 inactive domain,1.61
9333,Copper resistance protein D,Sigma-70 region 2,1.79
9334,CopC domain,Sigma-70 region 2,1.79
11551,Leucine rich repeat,Periplasmic copper-binding protein (NosD),2.2
8811,Carbohydrate binding domain,FIVAR domain,2.2
2123,Glycosyl hydrolases family 25,Y_Y_Y domain,2.2
14323,HipA-like C-terminal domain,Squalene-hopene cyclase C-terminal domain,1.61
14327,HipA N-terminal domain,Squalene-hopene cyclase N-terminal domain,1.61
14322,HipA-like C-terminal domain,Squalene-hopene cyclase N-terminal domain,1.61
14328,HipA N-terminal domain,Squalene-hopene cyclase C-terminal domain,1.61
4897,AMP-binding enzyme,DHH family,1.79
8142,"Helix-turn-helix domain, rpiR family",Shikimate / quinate 5-dehydrogenase,1.61
1589,"Diguanylate cyclase, GGDEF domain",RecF/RecN/SMC N terminal domain,2.4
6727,Divergent InlB B-repeat domain,FG-GAP-like repeat,2.48
13310,Fibronectin binding repeat,PapC N-terminal domain,1.1
15078,PNMA,PapC N-terminal domain,1.1
2779,Bacterial trigger factor protein (TF) C-terminus,SurA-like N-terminal domain,1.79
1647,CarboxypepD_reg-like domain,Carboxypeptidase regulatory-like domain,1.61
2365,REC lobe of CRISPR-associated endonuclease Cas9,"RNA polymerase Rpb2, domain 6",2.4
2364,REC lobe of CRISPR-associated endonuclease Cas9,"RNA polymerase Rpb2, domain 3",2.4
11795,GAF domain,Protein similar to CwfJ C-terminus 1,2.56
11797,GAF domain,Protein similar to CwfJ C-terminus 2,2.56
6136,Domain of unknown function (DUF1508),Integrase core domain,1.79
5875,Copper amine oxidase N-terminal domain,Trypsin,1.61
4133,CRISPR-associated protein (Cas_Cas02710),Putative redox-active protein (C_GCAxxG_C_C),1.61
8516,Domain of unknown function DUF11,"Peptide-N-glycosidase F, C terminal",1.61
8151,"Glutamyl-tRNAGlu reductase, N-terminal domain",SIS domain,1.61
2491,FtsX-like permease family,Sodium/hydrogen exchanger family,1.61
1375,BspA type Leucine rich repeat region (6 copies),FlgD Ig-like domain,2.83
3506,Chaperone of endosialidase,Collagen triple helix repeat (20 copies),1.79
5199,"Helix-turn-helix domain, rpiR family",TrkA-C domain,1.79
8194,CHU_C Type IX secretion signal domain,SdrD B-like domain,2.2
10791,Esterase PHB depolymerase,LysM domain,1.61
19861,Domain of unknown function (DUF4277),Domain of unknown function (DUF4372),1.1
12285,PSA endolysin C-terminal cell wall binding domain,Sporulation and spore germination,1.1
532,Bacterial Ig domain,Divergent InlB B-repeat domain,3.04
7527,SurA-like N-terminal domain,Uncharacterised methyltransferase family (DUF6094),1.39
13669,ABC-2 family transporter protein,PucR C-terminal helix-turn-helix domain,1.1
13565,NAD-dependent DNA ligase C4 zinc finger domain,tRNA synthetases class II (A),1.1
18782,HPr Serine kinase N terminus,NAD-dependent DNA ligase C4 zinc finger domain,1.1
18783,HPr Serine kinase C-terminal domain,NAD-dependent DNA ligase C4 zinc finger domain,1.1
5895,DNA polymerase III psi subunit,Domain of unknown function (DUF6363),1.1
5381,"Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase, domain N/S","Phage portal protein, SPP1 Gp6-like",1.1
13174,Double-stranded DNA-binding domain,HEAT repeat,1.1
8656,AMP-binding enzyme C-terminal domain,Insulinase (Peptidase family M16),1.61
13169,HEAT repeat,Radial spoke protein 3,1.1
5889,DNA polymerase III psi subunit,Patatin-like phospholipase,1.1
5380,"Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase, domain N/S",Pyridoxamine 5'-phosphate oxidase,1.1
5944,Autotransporter beta-domain,Immunoglobulin domain,1.95
2881,Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain,Glycosyl hydrolases family 31 TIM-barrel domain,1.79
2861,Alpha-L-rhamnosidase N-terminal domain,Glycosyl hydrolases family 31 TIM-barrel domain,1.79
10792,Cellulose or protein binding domain,LysM domain,2.4
4490,"Diguanylate cyclase, GGDEF domain",E1-E2 ATPase,2.94
19859,Domain of unknown function (DUF4372),Transposase IS66 family,1.39
11965,"Diguanylate cyclase, GGDEF domain",MukB N-terminal,1.95
11964,"Diguanylate cyclase, GGDEF domain",MukB hinge domain,1.95
10080,Chitin recognition protein,Concanavalin A-like lectin/glucanases superfamily,2.2
5039,Clostridial hydrophobic W,Domain of unknown function (DUF5110),1.61
4197,"ADDB, N-terminal",PD-(D/E)XK nuclease superfamily,1.95
7522,PPIC-type PPIASE domain,Uncharacterised methyltransferase family (DUF6094),1.39
10469,Sigma-54 interaction domain,tRNA modifying enzyme MnmG/GidA C-terminal helical domain,1.61
2778,Bacterial trigger factor protein (TF) C-terminus,PPIC-type PPIASE domain,1.79
7875,Leucine Rich Repeat,PKD domain,2.64
7804,DNA gyrase B,Toprim domain,1.95
12586,ABC transporter,DNA-directed RNA polymerase N-terminal,1.79
12587,ABC transporter,DNA-dependent RNA polymerase,1.79
9509,Putative transposase DNA-binding domain,Reverse transcriptase-like,2.4
2709,Chaperone for flagella basal body P-ring formation,Cytochrome c,1.1
2707,Cytochrome c,FlgA N-terminal domain,1.1
16065,Cytochrome c,N-terminal domain of M60-like peptidases,1.1
17310,MobA/MobL family,Relaxase/Mobilisation nuclease domain,1.1
16069,Cytochrome c,"Peptidase M60, enhancin and enhancin-like",1.1
16709,Protein of unknown function (DUF4079),RDD family,1.1
16708,Electron transfer DM13,RDD family,1.1
7770,Helix-turn-helix,RadC-like JAB domain,1.95
8907,Family of unknown function (DUF6273),MucBP domain,1.61
6082,Periplasmic binding protein domain,Periplasmic binding protein-like domain,1.61
16247,"Penicillin-binding protein 5, C-terminal domain",Protein kinase domain,2.08
18887,Chitin recognition protein,Papain family cysteine protease,1.61
2687,Domain of unknown function (DUF927),TrwC relaxase,1.61
4888,AMP-binding enzyme,DHHA1 domain,1.79
6051,"Gram-positive pilin subunit D1, N-terminal domain",LPXTG cell wall anchor motif,1.79
10300,Bacterial trigger factor protein (TF),MCM OB domain,1.61
10298,Bacterial trigger factor protein (TF),MCM P-loop domain,1.61
13253,Adenylate and Guanylate cyclase catalytic domain,PAS fold,3.09
5392,"Alpha amylase, catalytic domain",Metallo-beta-lactamase superfamily,1.61
13467,Insulinase (Peptidase family M16),Reverse transcriptase-like,1.61
3576,"Glycosyl hydrolases family 2, sugar binding domain","Membrane-bound lytic murein transglycosylase C, N-terminal domain",1.95
6716,Antitoxin Xre/MbcA/ParS C-terminal toxin-binding domain,"Sigma-70 factor, region 1.2",1.61
216,Bacterial Ig-like domain (group 2),Viral BACON domain,2.48
1518,Carbohydrate binding domain (family 25),Listeria-Bacteroides repeat domain (List_Bact_rpt),1.95
15208,DeoR C terminal sensor domain,RNA pseudouridylate synthase,1.61
2746,"Bacterial extracellular solute-binding proteins, family 3",Response regulator receiver domain,3.18
11984,N-terminal domain of reverse transcriptase,Reverse transcriptase (RNA-dependent DNA polymerase),1.95
8302,Putative ATP-dependent DNA helicase recG C-terminal,RNB domain,1.79
258,Bacterial transcriptional regulator,Cytochrome b/b6/petB,1.39
5911,Divergent InlB B-repeat domain,KxYKxGKxW signal peptide,2.2
9914,CHASE4 domain,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",2.56
7532,F5/8 type C domain,Hydrazine synthase alpha subunit middle domain,1.79
11670,FecR protein,Tn7-like transposition protein D,2.08
13337,Bacterial Ig domain,HYR domain,2.2
5034,Carbohydrate binding module (family 35),Clostridial hydrophobic W,1.61
14658,ParB family,ParB/Sulfiredoxin domain,1.95
6084,Glycosyl transferase family 2,Periplasmic binding protein-like domain,1.79
11776,Domain of unknown function (DUF4347),Leucine Rich Repeat,1.95
3607,Immunoglobulin domain,"Mycoplasma protein of unknown function, DUF285",2.2
5205,SIS domain,"Schlafen, AlbA_2",1.79
7606,Protein kinase domain,Tetratricopeptide repeat,3.18
8472,AMIN domain,SpoU rRNA Methylase family,1.61
533,Bacterial Ig domain,Listeria-Bacteroides repeat domain (List_Bact_rpt),3.04
7206,Major Facilitator Superfamily,"Phosphotransferase system, EIIC",1.1
7205,Major Facilitator Superfamily,"phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1",1.1
7207,Major Facilitator Superfamily,"phosphotransferase system, EIIB",1.1
3664,"ADDB, N-terminal",DnaB-like helicase C terminal domain,1.95
13238,MASE1,Tn7-like transposition protein D,1.79
2540,AAA ATPase domain,AAA domain,2.77
7405,AAA domain,Helix-hairpin-helix containing domain,2.3
10719,FG-GAP-like repeat,NHL repeat,1.79
1181,Pyridine nucleotide-disulphide oxidoreductase,YegS C-terminal NAD kinase beta sandwich-like domain,1.61
1182,Diacylglycerol kinase catalytic domain,Pyridine nucleotide-disulphide oxidoreductase,1.61
13220,"DNA helicase Pif1, 2B domain",TrwC relaxase,1.39
690,Family of unknown function (DUF5906),Restriction endonuclease,1.95
1393,CRISPR associated protein Cas1,Domain of unknown function (DUF4113),1.95
9000,Arginosuccinate synthase C-terminal domain,CRISPR-associated protein (Cas_Csm6),1.1
17334,CRISPR-associated protein (Cas_Csm6),Cys/Met metabolism PLP-dependent enzyme,1.1
2942,GUN4-like,"Initiator Rep protein, WH2",2.48
2943,GUN4-like,"Initiator Replication protein, WH1",2.48
3106,Chlamydia polymorphic membrane protein (Chlamydia_PMP) repeat,"Mycoplasma protein of unknown function, DUF285",2.2
1711,Ribonuclease E/G family,"Tubulin/FtsZ family, GTPase domain",1.1
1717,"RNase E/G, Thioredoxin-like domain","Tubulin/FtsZ family, GTPase domain",1.1
13988,ATP cone domain,"Mur ligase MurD-like, N-terminal domain",1.1
11000,Calycin-like beta-barrel domain,Glycosyl hydrolases family 11,1.61
5661,Cysteine-rich domain,Domain of unknown function (DUF4357),1.1
1716,"RNase E/G, Thioredoxin-like domain","Tubulin-like CetZ, C-terminal",1.1
11015,Domain of unknown function (DUF5018),Glycosyl hydrolases family 11,1.61
7000,OB-fold nucleic acid binding domain,PP-loop family,1.61
18148,60Kd inner membrane protein,Ammonium Transporter Family,1.1
3468,Putative RNA methylase family UPF0020,Region found in RelA / SpoT proteins,1.1
3469,Putative RNA methylase family UPF0020,ThiF family,1.1
3472,Region found in RelA / SpoT proteins,THUMP domain,1.1
3473,THUMP domain,ThiF family,1.1
1710,Ribonuclease E/G family,"Tubulin-like CetZ, C-terminal",1.1
6581,Bacterial signalling protein N terminal repeat,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",2.94
8445,Beta-Casp domain,Ribonuclease J C-terminal domain,1.1
546,Collagen binding domain,Hemagglutinin repeat,1.61
11817,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",RNA recognition motif,2.94
5026,Cadherin-like beta sandwich domain,Clostridial hydrophobic W,1.61
18154,Ammonium Transporter Family,YidC periplasmic domain,1.1
1803,N-terminal domain of anti-restriction factor ArdC,Peptidase S24-like,1.95
12980,Beta helix repeat,TPS secretion domain,1.1
19666,C2 domain,Pterin binding enzyme,1.1
19044,"Archaeal MCM, winged-helix",MYND finger,1.1
19664,"7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)",C2 domain,1.1
11669,FecR protein,TniQ,2.08
7977,N-acetylmuramoyl-L-alanine amidase,Protein kinase domain,2.64
11796,GAF domain,RNA recognition motif,2.56
13237,MASE1,TniQ,1.79
9041,NTF2-like N-terminal transpeptidase domain,Penicillin binding protein transpeptidase domain,1.39
4790,DnaB-like helicase C terminal domain,Recombination protein O N terminal,1.95
4789,DnaB-like helicase C terminal domain,Recombination protein O C terminal,1.95
13436,Bacterial Ig-like domain,Bacterial TSP3 repeat,2.08
5148,Domain of unknown function (DUF4093),Glycogen debranching enzyme N terminal,1.1
5147,"Amylo-alpha-1,6-glucosidase",Domain of unknown function (DUF4093),1.1
171,AAA+ lid domain,DNA polymerase III subunits gamma and tau domain III,1.61
6177,Homeodomain-like domain,Probable transposase,2.2
16101,ACT domain,Virulence-associated protein E-like domain,1.61
11763,Beta-propeller repeat,Kelch motif,1.39
15275,Pentatricopeptide repeat domain,Tn7-like transposition protein D,1.61
8109,Dimerisation domain of Zinc Transporter,"Iron dependent repressor, metal binding and dimerisation domain",1.61
8110,Cation efflux family,"Iron dependent repressor, metal binding and dimerisation domain",1.61
8112,Cation efflux family,"Iron dependent repressor, N-terminal DNA binding domain",1.61
8111,Dimerisation domain of Zinc Transporter,"Iron dependent repressor, N-terminal DNA binding domain",1.61
14319,Domain of unknown function (DUF4328),GYF domain 2,1.1
14217,Phosphomethylpyrimidine kinase,Threonyl and Alanyl tRNA synthetase second additional domain,1.1
13080,Domain of unknown function (DUF4880),Tape measure protein,1.1
10421,DNA N-6-adenine-methyltransferase (Dam),Transposase,1.61
1570,"KhpA/KhpB, KH domain",Transposase IS116/IS110/IS902 family,2.2
10737,C-terminal domain on Strawberry notch homologue,CRISPR-associated protein (Cas_Csy2),1.1
1072,"PTS system, Lactose/Cellobiose specific IIB subunit",Predicted SPOUT methyltransferase,1.1
1073,"PTS system, Lactose/Cellobiose specific IIB subunit",Uncharacterised protein family (UPF0160),1.1
10743,CRISPR-associated protein (Cas_Csy2),P-loop containing NTP hydrolase pore-1,1.1
4783,Anticodon binding domain,DnaB-like helicase C terminal domain,1.95
4784,DnaB-like helicase C terminal domain,"tRNA synthetases class I (E and Q), catalytic domain",1.95
4496,"Diguanylate cyclase, GGDEF domain",haloacid dehalogenase-like hydrolase,2.94
6356,Family of unknown function (DUF6551),Helix-turn-helix,1.61
14677,Domain of Unknown Function (DUF1542),Putative adhesive domain (group 17),1.1
9839,Atrophied bacterial Ig domain,Glycosyl hydrolases family 11,1.95
8141,SIS domain,Shikimate / quinate 5-dehydrogenase,1.61
376,LysR substrate binding domain,LytTr DNA-binding domain,2.2
367,"Bacterial regulatory helix-turn-helix protein, lysR family",LytTr DNA-binding domain,2.2
4459,CHC2 zinc finger,NUMOD3 motif,1.79
11544,"Initiator Rep protein, WH2",Staphylococcal nuclease homologue,2.2
5544,Glycosyl transferases group 1,Peptidase family U32,1.61
5543,Glycosyl transferases group 1,Peptidase family U32 C-terminal domain,1.61
11546,"Initiator Replication protein, WH1",Staphylococcal nuclease homologue,2.2
9484,Glycosyl transferase 4-like domain,Glycosyl transferases group 1,1.61
6372,Protein of unknown function (DUF5131),Radical SAM superfamily,1.61
7111,Cch helix turn helix domain,Lrp/AsnC ligand binding domain,1.61
15119,Family of unknown function (DUF5906),FtsK alpha domain,1.79
2911,MCM OB domain,SurA-like N-terminal domain,1.61
2912,MCM P-loop domain,SurA-like N-terminal domain,1.61
4718,DeoR C terminal sensor domain,TilS substrate C-terminal domain,1.61
11368,Outer membrane protein beta-barrel domain,Two component regulator propeller,1.61
17921,KH domain,"Poly-adenylate binding protein, unique domain",1.1
19991,Family of unknown function (DUF5816),Flagellar basal body rod FlgEFG protein C-terminal,1.1
6529,Bacterial type II and III secretion system protein,"SPI-1 type 3 secretion system secretin, N0 domain",1.1
223,BspA type Leucine rich repeat region (6 copies),"Putative binding domain, N-terminal",2.83
7489,"DNA primase catalytic core, N-terminal domain","Ribonucleotide reductase, barrel domain",1.61
17539,"DNA primase catalytic core, N-terminal domain",Domain of unknown function (DUF6371),1.61
11640,Domain of unknown function (DUF5123),Pretoxin HINT domain,1.1
2717,Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,tRNA N6-adenosine threonylcarbamoyltransferase,1.1
2711,ATP:dephospho-CoA triphosphoribosyl transferase,tRNA N6-adenosine threonylcarbamoyltransferase,1.1
16743,Delta endotoxin,Domain of unknown function (DUF5122) beta-propeller,1.1
16749,Domain of unknown function (DUF5122) beta-propeller,Putative pectate lyase-like adhesive domain,1.1
12233,DNA gyrase B,"DNA gyrase B subunit, carboxyl terminus",1.61
6887,AsnC-type helix-turn-helix domain,"Bacterial regulatory helix-turn-helix protein, lysR family",1.95
6886,AsnC-type helix-turn-helix domain,LysR substrate binding domain,1.95
5800,ATP synthase (C/AC39) subunit,"Mur ligase family, glutamate ligase domain",1.1
3830,CENP-B N-terminal DNA-binding domain,hAT family C-terminal dimerisation region,1.1
5803,ATP synthase (F/14-kDa) subunit,"Mur ligase family, glutamate ligase domain",1.1
14398,Putative glucoamylase,Sulfatase-modifying factor enzyme 1,1.61
6641,"Diguanylate cyclase, GGDEF domain","SbcC/RAD50-like, Walker B motif",2.48
8631,Fimbrillin-like,Periplasmic copper-binding protein (NosD),1.61
17728,Ig-like domain CHU_C associated,PKD-like domain,1.79
348,DEAD/DEAH box helicase,"Type I restriction enzyme HindI endonuclease subunit-like, C-terminal",3.0
349,DEAD/DEAH box helicase,SWI2/SNF2 ATPase,3.0
10945,Regulator of chromosome condensation (RCC1) repeat,Secretion system C-terminal sorting domain,2.3
6890,AsnC-type helix-turn-helix domain,Virulence-associated protein E-like domain,1.61
244,ADP-Ribosyltransferase in polyvalent proteins,Heterokaryon incompatibility protein Het-C,1.1
245,ADP-Ribosyltransferase in polyvalent proteins,PAAR motif,1.1
8817,Bacterial Ig-like domain (group 2),F5/8 type C domain,2.56
3380,DeoR-like helix-turn-helix domain,tRNA methyl transferase HUP domain,1.61
3403,DeoR-like helix-turn-helix domain,tRNA methyl transferase PRC-barrel domain,1.61
4471,Penicillin binding protein transpeptidase domain,Transglycosylase,1.39
4100,Putative cell wall binding repeat,Thrombospondin type 3 repeat,2.48
2903,MCM P-loop domain,PPIC-type PPIASE domain,1.61
2902,MCM OB domain,PPIC-type PPIASE domain,1.61
6702,"DNA polymerase III delta subunit, C-terminal domain",DNA topoisomerase,1.61
5356,Rx N-terminal domain,YheO-like PAS domain,1.1
8044,"L,D-transpeptidase catalytic domain",Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,1.95
9829,C-terminal lipocalin-like domain,WD40-like Beta Propeller Repeat,1.95
7175,BspA type Leucine rich repeat region (6 copies),Hint domain,2.48
11918,Putative ATP-dependent DNA helicase recG C-terminal,"Schlafen, AlbA_2",1.95
1961,Phage minor capsid protein 2,Sigma factor regulator C-terminal,1.1
18455,Bacterial capsule synthesis protein PGA_cap,jmjN domain,1.1
18456,Family of unknown function (DUF6270),jmjN domain,1.1
9313,Cation transport ATPase (P-type),Nucleotidyl transferase,1.1
18458,Family of unknown function (DUF6270),"JmjC domain, hydroxylase",1.1
9317,Cation transport ATPase (P-type),eIF4-gamma/eIF5/eIF2-epsilon,1.1
17821,"Inner membrane component of T3SS, cytoplasmic domain",PEGA domain,1.1
18457,Bacterial capsule synthesis protein PGA_cap,"JmjC domain, hydroxylase",1.1
16897,AhpC/TSA family,Flagellar basal body protein FlaE,1.1
8655,Insulinase (Peptidase family M16),Phosphopantetheine attachment site,1.61
6902,DNA polymerase III subunits gamma and tau domain III,DnaB-like helicase C terminal domain,1.79
14145,MarR family,"Prephenate dehydrogenase, dimerization domain",1.61
16361,"Glucodextranase, domain B",The  BURPS668_1122 family of deaminases,1.1
14136,MarR family,"Prephenate dehydrogenase, nucleotide-binding domain",1.61
7478,Putative CRISPR-associated protein (Cas_VVA1548),Radical_SAM C-terminal domain,1.1
5208,SIS domain,TrkA-C domain,1.79
19452,Glutamine amidotransferase class-I,Peptidase M16 inactive domain,1.39
3680,Asparagine synthase,"Bacterial regulatory proteins, lacI family",1.79
5729,DeoR-like helix-turn-helix domain,ROK family,1.61
6139,Integrase core domain,Transposase,2.4
2308,Bacterial pre-peptidase C-terminal domain,T-Q ester bond containing domain,1.61
18600,Domain of unknown function (DUF4113),impB/mucB/samB family C-terminal domain,1.39
12895,"Bacterial regulatory proteins, gntR family",RimP C-terminal SH3 domain,1.61
12894,"Bacterial regulatory proteins, gntR family",RimP N-terminal domain,1.61
10979,"FecR, C-terminal",MASE1,1.61
