,Unnamed: 0,Label1,Label2,Count,Total_Label_1,Total_Label_2,p_value,p_value_fdr,Count_normalized
8568,8568,16S rRNA methyltransferase RsmB/F,"Alanine dehydrogenase/PNT, C-terminal domain",2,14,14,5.825223573994779e-07,3.837150297530744e-06,1.1
7210,7210,Outer membrane efflux protein,Putative threonine/serine exporter,2,14,14,5.825223573994779e-07,3.837150297530744e-06,1.1
3993,3993,Region found in RelA / SpoT proteins,ThiF family,2,14,14,5.825223573994779e-07,3.837150297530744e-06,1.1
8363,8363,Putative threonine/serine exporter,Type IV leader peptidase family,2,14,14,5.825223573994779e-07,3.837150297530744e-06,1.1
8369,8369,Bacterial Peptidase A24 N-terminal domain,"Threonine/Serine exporter, ThrE",2,14,14,5.825223573994779e-07,3.837150297530744e-06,1.1
8368,8368,"Threonine/Serine exporter, ThrE",Type IV leader peptidase family,2,14,14,5.825223573994779e-07,3.837150297530744e-06,1.1
8364,8364,Bacterial Peptidase A24 N-terminal domain,Putative threonine/serine exporter,2,14,14,5.825223573994779e-07,3.837150297530744e-06,1.1
7215,7215,Outer membrane efflux protein,Type IV leader peptidase family,2,14,14,5.825223573994779e-07,3.837150297530744e-06,1.1
7216,7216,Bacterial Peptidase A24 N-terminal domain,Outer membrane efflux protein,2,14,14,5.825223573994779e-07,3.837150297530744e-06,1.1
12064,12064,Beta-propeller repeat,NHL repeat,3,27,100,5.863590164546793e-07,3.861192797208091e-06,1.39
11223,11223,"5'-nucleotidase, C-terminal domain",Protein kinase domain,6,65,773,5.985082092120005e-07,3.939940860196286e-06,1.95
9764,9764,Dynamin-like helical domain,LAGLIDADG-like domain,3,28,97,5.98748531082071e-07,3.940268420491401e-06,1.39
12472,12472,DNA gyrase B,RNB domain,4,119,91,6.016048795432519e-07,3.956547103790019e-06,1.61
10521,10521,AMP-binding enzyme C-terminal domain,Pyridine nucleotide-disulphide oxidoreductase,4,119,91,6.016048795432519e-07,3.956547103790019e-06,1.61
13435,13435,DDE superfamily endonuclease,Transposase protein,2,54,4,6.040729503703929e-07,3.971515546838987e-06,1.1
4719,4719,DeoR C terminal sensor domain,PP-loop family,4,141,77,6.052406804520078e-07,3.977928019614166e-06,1.61
4025,4025,Putative transposase DNA-binding domain,Transposase,15,1528,335,6.066975194672006e-07,3.986235973950844e-06,2.77
16964,16964,"AAA domain, putative AbiEii toxin, Type IV TA system",STAS domain,3,94,29,6.071140528892619e-07,3.98770561359316e-06,1.39
15720,15720,Flagellar hook capping protein - N-terminal region,"Galactose oxidase, central domain",2,4,55,6.268631967352684e-07,4.114809625046078e-06,1.1
15723,15723,FlgD Tudor-like domain,"Galactose oxidase, central domain",2,4,55,6.268631967352684e-07,4.114809625046078e-06,1.1
1132,1132,Listeria-Bacteroides repeat domain (List_Bact_rpt),SdrD B-like domain,10,1051,199,6.287162552725122e-07,4.125663602116704e-06,2.4
8868,8868,Large polyvalent protein-associated domain 3,phage-Barnase-EndoU-ColicinE5/D-RelE like nuclease1,2,17,12,6.313967639717089e-07,4.141938733706543e-06,1.1
15196,15196,Acetyltransferase (GNAT) domain,Insulinase (Peptidase family M16),4,157,70,6.328447703253423e-07,4.150120937525246e-06,1.61
9137,9137,Deacetylase PdaC,Family of unknown function (DUF6049),2,26,8,6.401344538015733e-07,4.191279322753367e-06,1.1
19484,19484,Domain of unknown function (DUF4153),Polysaccharide biosynthesis protein,2,8,26,6.401344538015733e-07,4.191279322753367e-06,1.1
9139,9139,Family of unknown function (DUF6049),Protein of unknown function (DUF3298),2,8,26,6.401344538015733e-07,4.191279322753367e-06,1.1
15442,15442,"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus",Polysaccharide biosynthesis protein,2,8,26,6.401344538015733e-07,4.191279322753367e-06,1.1
19754,19754,F420H(2)-dependent quinone reductase,Proton-conducting membrane transporter,2,8,26,6.401344538015733e-07,4.191279322753367e-06,1.1
10230,10230,Cytidylyltransferase-like,Domain of unknown function (DUF4143),5,58,466,6.417233560774913e-07,4.2003525905711575e-06,1.79
7456,7456,FlgD Ig-like domain,Secretion system C-terminal sorting domain,13,272,1403,6.423743325332083e-07,4.201953202717225e-06,2.64
5377,5377,"Bacterial regulatory proteins, lacI family",Glycosyltransferase GT-D fold,4,405,28,6.421815400614684e-07,4.201953202717225e-06,1.61
3795,3795,"Bacterial regulatory helix-turn-helix protein, lysR family",TrkA-C domain,8,589,200,6.488652782966662e-07,4.2417285359912e-06,2.2
3791,3791,LysR substrate binding domain,TrkA-C domain,8,589,200,6.488652782966662e-07,4.2417285359912e-06,2.2
12388,12388,Glycosyl-hydrolase 97 N-terminal,N-acetylmuramoyl-L-alanine amidase,4,25,458,6.502760764951599e-07,4.244241929826521e-06,1.61
8070,8070,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",Glycosyl transferase 4-like,2,56,4,6.500752092231383e-07,4.244241929826521e-06,1.1
3108,3108,SWIM zinc finger,"Terminase large subunit, endonuclease domain",2,56,4,6.500752092231383e-07,4.244241929826521e-06,1.1
3109,3109,SWIM zinc finger,"Terminase large subunit, ATPase domain",2,56,4,6.500752092231383e-07,4.244241929826521e-06,1.1
8072,8072,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",Glycosyl transferase 4-like,2,56,4,6.500752092231383e-07,4.244241929826521e-06,1.1
12476,12476,FAD dependent oxidoreductase,Glycosyltransferase Family 4,4,43,260,6.508905737393964e-07,4.245572363788486e-06,1.61
6696,6696,C-terminal repeat of topoisomerase,"DNA polymerase III delta subunit, C-terminal domain",3,42,66,6.508886134800476e-07,4.245572363788486e-06,1.39
8850,8850,FIVAR domain,"Glycosyl hydrolases family 2, TIM barrel domain",9,523,307,6.519429410754806e-07,4.251095614196692e-06,2.3
6858,6858,"Bifunctional DNA primase/polymerase, N-terminal",RimP N-terminal domain,4,408,28,6.612680489484567e-07,4.3078259130772654e-06,1.61
9759,9759,"Bifunctional DNA primase/polymerase, N-terminal",Dynamin-like helical domain,4,408,28,6.612680489484567e-07,4.3078259130772654e-06,1.61
6866,6866,"Bifunctional DNA primase/polymerase, N-terminal",RimP C-terminal SH3 domain,4,408,28,6.612680489484567e-07,4.3078259130772654e-06,1.61
7632,7632,Calcineurin-like phosphoesterase,LysM domain,8,300,393,6.660150453424322e-07,4.336017976242277e-06,2.2
16818,16818,CotH kinase protein,Outer membrane usher protein,4,239,47,6.699283052690263e-07,4.360121991831179e-06,1.61
12569,12569,Bacterial adhesion/invasion protein N terminal,Leucine rich repeat,4,24,482,6.703989727030039e-07,4.361812321768412e-06,1.61
5873,5873,LysM domain,PDZ domain,7,393,206,6.71495589589628e-07,4.367572917881328e-06,2.08
1734,1734,Crp-like helix-turn-helix domain,IrrE N-terminal-like domain,6,185,272,6.726700810759406e-07,4.373836247297869e-06,1.95
8876,8876,PKD domain,S-layer homology domain,14,458,975,6.778615272920854e-07,4.406206475893886e-06,2.71
13754,13754,"Bacterial regulatory helix-turn-helix protein, lysR family",Cupin,4,589,20,6.837916997505721e-07,4.441960721251202e-06,1.61
13751,13751,Cupin,LysR substrate binding domain,4,20,589,6.837916997505719e-07,4.441960721251202e-06,1.61
2755,2755,"Bacterial extracellular solute-binding proteins, family 3",EAL domain,14,263,1711,6.886282949437229e-07,4.471974640248542e-06,2.71
135,135,BspA type Leucine rich repeat region (6 copies),Leucine Rich repeats (2 copies),16,1981,298,6.924892761065193e-07,4.495636032042229e-06,2.83
8635,8635,Four helix bundle sensory module for signal transduction,Single Cache domain 2,4,188,60,6.957526327870376e-07,4.515404013853602e-06,1.61
555,555,ATP-dependent protease La (LON) substrate-binding domain,Cytidylyltransferase-like,2,4,58,6.977644924449357e-07,4.52561995303762e-06,1.1
557,557,Cytidylyltransferase-like,Lon protease (S16) C-terminal proteolytic domain,2,58,4,6.977644924449357e-07,4.52561995303762e-06,1.1
10942,10942,P22_AR N-terminal domain,Winged helix-turn-helix DNA-binding,3,22,131,6.987155063373601e-07,4.528220757870191e-06,1.39
6735,6735,Bacterial Ig-like domain,S-layer homology domain,12,330,975,6.988224809384233e-07,4.528220757870191e-06,2.56
9360,9360,PAS domain,haloacid dehalogenase-like hydrolase,19,3511,236,7.045249869657297e-07,4.563741590065912e-06,3.0
14917,14917,Bacteriophage CI repressor helix-turn-helix domain,Protein of unknown function (DUF2442),2,12,18,7.102932671408967e-07,4.5896043389601e-06,1.1
938,938,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,Oxidoreductase NAD-binding domain,2,12,18,7.102932671408967e-07,4.5896043389601e-06,1.1
14911,14911,Bacteriophage CI repressor helix-turn-helix domain,Domain of unknown function (DUF4160),2,12,18,7.102932671408967e-07,4.5896043389601e-06,1.1
946,946,FAE1/Type III polyketide synthase-like protein,PepSY-associated TM region,2,12,18,7.102932671408967e-07,4.5896043389601e-06,1.1
939,939,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,PepSY-associated TM region,2,12,18,7.102932671408967e-07,4.5896043389601e-06,1.1
945,945,FAE1/Type III polyketide synthase-like protein,Oxidoreductase NAD-binding domain,2,12,18,7.102932671408967e-07,4.5896043389601e-06,1.1
13667,13667,PucR C-terminal helix-turn-helix domain,Replicase family,2,12,18,7.102932671408967e-07,4.5896043389601e-06,1.1
13560,13560,NAD-dependent DNA ligase C4 zinc finger domain,Threonyl and Alanyl tRNA synthetase second additional domain,2,12,18,7.102932671408967e-07,4.5896043389601e-06,1.1
17624,17624,CRISPR-associated protein NE0113 (Cas_NE0113),Peptidase S24-like,4,64,177,7.105977875367505e-07,4.590137598530894e-06,1.61
9421,9421,Chlamydia polymorphic membrane protein (Chlamydia_PMP) repeat,Leucine rich repeat N-terminal domain,6,129,395,7.109301116030186e-07,4.590850067962404e-06,1.95
5302,5302,ABC transporter transmembrane region,Helix-hairpin-helix motif,8,341,349,7.152070079459977e-07,4.617026320105962e-06,2.2
6655,6655,"Galactose oxidase-like, Early set domain",Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,4,42,273,7.175501414285563e-07,4.629261864061859e-06,1.61
6667,6667,Glyoxal oxidase N-terminus,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,4,42,273,7.175501414285563e-07,4.629261864061859e-06,1.61
13345,13345,Haemagglutinin repeat,Right handed beta helix region,4,34,340,7.1886763767724e-07,4.636315079305144e-06,1.61
5222,5222,AAA domain (Cdc48 subfamily),Ribosomal protein S4/S9 N-terminal domain,3,90,32,7.217665558043565e-07,4.653560048134293e-06,1.39
6672,6672,Glyoxal oxidase N-terminus,Sulfatase-modifying factor enzyme 1,4,42,274,7.280492824680679e-07,4.691142104578448e-06,1.61
6660,6660,"Galactose oxidase-like, Early set domain",Sulfatase-modifying factor enzyme 1,4,42,274,7.280492824680679e-07,4.691142104578448e-06,1.61
8458,8458,Beta-lactamase superfamily domain,Zn-dependent metallo-hydrolase RNA specificity domain,2,10,22,7.31184243542953e-07,4.704012633396901e-06,1.1
8448,8448,Family of unknown function (DUF6290),Zn-dependent metallo-hydrolase RNA specificity domain,2,10,22,7.31184243542953e-07,4.704012633396901e-06,1.1
4833,4833,SseB protein C-terminal domain,VWA / Hh  protein intein-like,2,10,22,7.31184243542953e-07,4.704012633396901e-06,1.1
4834,4834,Hint-domain,SseB protein C-terminal domain,2,22,10,7.311842435429527e-07,4.704012633396901e-06,1.1
8455,8455,Beta-Casp domain,Zn-dependent metallo-hydrolase RNA specificity domain,2,10,22,7.31184243542953e-07,4.704012633396901e-06,1.1
15930,15930,4Fe-4S binding domain,"ATP synthase, Delta/Epsilon chain, long alpha-helix domain",3,64,45,7.321824709131969e-07,4.707505270855775e-06,1.39
15931,15931,4Fe-4S binding domain,"ATP synthase, Delta/Epsilon chain, beta-sandwich domain",3,64,45,7.321824709131969e-07,4.707505270855775e-06,1.39
10510,10510,AMP-binding enzyme,Pyridine nucleotide-disulphide oxidoreductase,4,125,91,7.324206841334724e-07,4.707573045019524e-06,1.61
2555,2555,GAF domain,Type IV pili methyl-accepting chemotaxis transducer N-term,16,2663,224,7.33761960557141e-07,4.714728420894968e-06,2.83
17210,17210,AraC-binding-like domain,Tetratricopeptide repeat,6,38,1407,7.351611603685784e-07,4.722251417502671e-06,1.95
5922,5922,Dockerin type I domain,Periplasmic copper-binding protein (NosD),8,579,207,7.399539153505763e-07,4.751561213572629e-06,2.2
16071,16071,Protein of unknown function (DUF1499),Short C-terminal domain,2,8,28,7.444902756807595e-07,4.764415174946167e-06,1.1
20308,20308,Molybdopterin oxidoreductase Fe4S4 domain,"Pyridoxal-dependent decarboxylase, pyridoxal binding domain",2,28,8,7.444902756807596e-07,4.764415174946167e-06,1.1
20304,20304,Molybdopterin oxidoreductase Fe4S4 domain,"Pyridoxal-dependent decarboxylase, C-terminal sheet domain",2,28,8,7.444902756807596e-07,4.764415174946167e-06,1.1
9913,9913,CHASE4 domain,His Kinase A (phospho-acceptor) domain,10,50,4527,7.432602314514284e-07,4.764415174946167e-06,2.4
1511,1511,Listeria-Bacteroides repeat domain (List_Bact_rpt),Subtilase family,18,1051,704,7.43557649736309e-07,4.764415174946167e-06,2.94
8763,8763,Domain of unknown function (DUF4352),Staphylococcal nuclease homologue,2,8,28,7.444902756807595e-07,4.764415174946167e-06,1.1
17822,17822,"Inner membrane component of T3SS, cytoplasmic domain",Short C-terminal domain,2,8,28,7.444902756807595e-07,4.764415174946167e-06,1.1
8761,8761,Protein of unknown function (DUF4064),Staphylococcal nuclease homologue,2,8,28,7.444902756807595e-07,4.764415174946167e-06,1.1
10843,10843,BlaR1 peptidase M56,Domain of unknown function (DUF5059),2,28,8,7.444902756807596e-07,4.764415174946167e-06,1.1
15118,15118,Family of unknown function (DUF5906),FtsK/SpoIIIE family,5,527,53,7.429893408976194e-07,4.764415174946167e-06,1.79
8384,8384,Adenosine deaminase,HAD-hyrolase-like,2,8,28,7.444902756807595e-07,4.764415174946167e-06,1.1
18801,18801,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II",Pyridoxal-dependent decarboxylase conserved domain,2,17,13,7.461519098909967e-07,4.772094970867968e-06,1.1
18799,18799,"Phosphoglucomutase/phosphomannomutase, C-terminal domain",Pyridoxal-dependent decarboxylase conserved domain,2,17,13,7.461519098909967e-07,4.772094970867968e-06,1.1
13446,13446,Bacterial TSP3 repeat,Hint domain,5,217,127,7.551567542488632e-07,4.828193014101343e-06,1.79
7466,7466,Carboxypeptidase regulatory-like domain,Secretion system C-terminal sorting domain,10,153,1403,7.574195955001951e-07,4.841163825705574e-06,2.4
7635,7635,LysM domain,VanW like protein,4,393,30,7.599896774163832e-07,4.856089789845042e-06,1.61
15981,15981,Aminotransferase class-III,"Bifunctional DNA primase/polymerase, N-terminal",4,29,408,7.656028498485291e-07,4.888835725574228e-06,1.61
17957,17957,"Bifunctional DNA primase/polymerase, N-terminal",Domain of unknown function (DUF3482),4,408,29,7.656028498485291e-07,4.888835725574228e-06,1.61
12446,12446,Cold shock domain,S1 RNA binding domain,4,137,84,7.658238097951794e-07,4.888835725574228e-06,1.61
5998,5998,Dockerin type I domain,Passenger-associated-transport-repeat,8,579,208,7.67250722606561e-07,4.892718638895642e-06,2.2
13805,13805,Protein of unknown function (DUF1566),WG containing repeat,2,16,14,7.680884413529649e-07,4.892718638895642e-06,1.1
13991,13991,ATP cone domain,Sugar-binding N-terminal domain,2,14,16,7.680884413529648e-07,4.892718638895642e-06,1.1
17655,17655,"Phosphoserine phosphatase RsbU, N-terminal domain",Regulatory subunit of type II PKA R-subunit,2,16,14,7.680884413529649e-07,4.892718638895642e-06,1.1
13804,13804,Protein of unknown function (DUF1002),Protein of unknown function (DUF1566),2,14,16,7.680884413529648e-07,4.892718638895642e-06,1.1
13381,13381,ASCH domain,Molybdopterin oxidoreductase N-terminal domain,2,14,16,7.680884413529648e-07,4.892718638895642e-06,1.1
13990,13990,ATP cone domain,Nucleotide-binding C-terminal domain,2,14,16,7.680884413529648e-07,4.892718638895642e-06,1.1
14575,14575,DNA N-6-adenine-methyltransferase (Dam),HTH domain,4,28,424,7.702844084712267e-07,4.905195785019882e-06,1.61
11400,11400,GDSL-like Lipase/Acylhydrolase,von Willebrand factor type A domain,4,34,346,7.705495516225193e-07,4.905373484882645e-06,1.61
20003,20003,Leucine rich repeat N-terminal domain,Protein of unknown function (DUF1194),4,395,30,7.754476261753171e-07,4.933517097362163e-06,1.61
14109,14109,Glycosyl transferases group 1,Regulator of RNA terminal phosphate cyclase,3,316,10,7.754389665171641e-07,4.933517097362163e-06,1.39
9297,9297,Domain of unknown function (DUF5077),Two component regulator propeller,4,52,224,7.815809801400846e-07,4.967952636445292e-06,1.61
9278,9278,Domain of unknown function (DUF3472),Two component regulator propeller,4,52,224,7.815809801400846e-07,4.967952636445292e-06,1.61
1814,1814,D-alanyl-D-alanine carboxypeptidase,Prolyl oligopeptidase family,4,224,52,7.815809801400848e-07,4.967952636445292e-06,1.61
713,713,"HB1, ASXL, restriction endonuclease HTH domain",Poxvirus D5 protein-like,4,42,279,7.822685180617136e-07,4.969267633782504e-06,1.61
714,714,Mrr N-terminal domain,Poxvirus D5 protein-like,4,42,279,7.822685180617136e-07,4.969267633782504e-06,1.61
9478,9478,Legume lectin domain,WD40-like Beta Propeller Repeat,4,25,481,7.897573089282473e-07,5.015298487932853e-06,1.61
1146,1146,BspA type Leucine rich repeat region (6 copies),PKD domain,20,1981,458,7.958837042981517e-07,5.052651935453756e-06,3.04
9356,9356,CHASE domain,His Kinase A (phospho-acceptor) domain,27,341,4527,7.987520119148893e-07,5.0693048957532736e-06,3.33
11685,11685,CRISPR associated protein Cas1,CRISPR-associated endoribonuclease Cas6,20,1386,653,8.032262323559722e-07,5.096136485555213e-06,3.04
13210,13210,Bacterial flagellin C-terminal helical region,Peptidase S24-like,4,66,177,8.04724912087153e-07,5.104078836572411e-06,1.61
19963,19963,"Resolvase, N terminal domain",Transposase family tnp2,5,700,41,8.061207122818398e-07,5.109797047164808e-06,1.79
19973,19973,"Resolvase, N terminal domain",Transposase-associated domain,5,700,41,8.061207122818398e-07,5.109797047164808e-06,1.79
7322,7322,Subtilase family,Y_Y_Y domain,10,704,304,8.078286235355022e-07,5.119053769182831e-06,2.4
4058,4058,Domain of unknown function (DUF1887),Mur ligase middle domain,4,226,52,8.096960141491528e-07,5.129315099436897e-06,1.61
8651,8651,AMP-binding enzyme C-terminal domain,Peptidase M16 inactive domain,4,119,98,8.100100957051015e-07,5.129733154332123e-06,1.61
14477,14477,Fn3 associated,"Putative binding domain, N-terminal",4,42,282,8.162079960737178e-07,5.167401327255439e-06,1.61
1033,1033,DNA topoisomerase,"Terminase large subunit, T4likevirus-type, N-terminal",3,145,21,8.196978796731602e-07,5.187907272115682e-06,1.39
5038,5038,Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain,Clostridial hydrophobic W,4,117,100,8.207791516347948e-07,5.193161113327005e-06,1.61
708,708,CHC2 zinc finger,Poxvirus D5 protein-like,8,435,279,8.251283692878951e-07,5.215890948262247e-06,2.2
17526,17526,FG-GAP repeat,PKD domain,5,62,458,8.251152298412826e-07,5.215890948262247e-06,1.79
8928,8928,GBS Bsp-like repeat,PKD domain,5,62,458,8.251152298412826e-07,5.215890948262247e-06,1.79
3092,3092,"Bacterial regulatory proteins, lacI family","Oxidoreductase family, C-terminal alpha/beta domain",5,405,70,8.312998000536546e-07,5.253296444287719e-06,1.79
8263,8263,Collagen binding domain,YSIRK type signal peptide,4,114,103,8.328051669085182e-07,5.261201477594693e-06,1.61
13209,13209,Bacterial flagellin N-terminal helical region,Helix-turn-helix,6,74,716,8.335490641314716e-07,5.2642926081388025e-06,1.95
6690,6690,"DNA polymerase III, delta subunit, C terminal",Toprim domain,4,34,353,8.342815335032733e-07,5.267309700228147e-06,1.61
9858,9858,Bacterial Ig-like domain (group 4),Glycosyl hydrolases family 11,5,149,189,8.428702248198777e-07,5.319910756593593e-06,1.79
10659,10659,RNA 2'-O ribose methyltransferase substrate binding,tRNA modifying enzyme MnmG/GidA C-terminal helical domain,3,52,58,8.440166197656931e-07,5.325520795512736e-06,1.39
8319,8319,ABC transporter,Ribonuclease-III-like,5,493,58,8.454683774045998e-07,5.331427154496771e-06,1.79
8320,8320,ABC transporter,Double-stranded RNA binding motif,5,493,58,8.454683774045998e-07,5.331427154496771e-06,1.79
15889,15889,Cellulose or protein binding domain,N-acetylmuramoyl-L-alanine amidase,10,469,458,8.463776399285878e-07,5.333907485767574e-06,2.4
15209,15209,DeoR-like helix-turn-helix domain,RNA pseudouridylate synthase,4,191,62,8.462141984422741e-07,5.333907485767574e-06,1.61
12691,12691,Domain of unknown function (DUF3244),RTX calcium-binding nonapeptide repeat (4 copies),4,32,378,8.515171827056961e-07,5.364662031324095e-06,1.61
19965,19965,Recombinase,Transposase family tnp2,5,708,41,8.521738702083981e-07,5.365529571954643e-06,1.79
19975,19975,Recombinase,Transposase-associated domain,5,708,41,8.521738702083981e-07,5.365529571954643e-06,1.79
13879,13879,Cadherin domain,PKD-like domain,4,60,198,8.551450603594386e-07,5.382597994840825e-06,1.61
13980,13980,FIST C domain,Protein of unknown function (DUF3293),2,30,8,8.567140205935501e-07,5.382642298332676e-06,1.1
9319,9319,Phospholipid-translocating ATPase N-terminal,eIF4-gamma/eIF5/eIF2-epsilon,2,30,8,8.567140205935501e-07,5.382642298332676e-06,1.1
2158,2158,Rhodanese-like domain,RloB-like protein,2,30,8,8.567140205935501e-07,5.382642298332676e-06,1.1
13981,13981,FIST N domain,Protein of unknown function (DUF3293),2,30,8,8.567140205935501e-07,5.382642298332676e-06,1.1
15132,15132,Adenosine deaminase,[2Fe-2S] binding domain,2,8,30,8.567140205935499e-07,5.382642298332676e-06,1.1
9315,9315,Nucleotidyl transferase,Phospholipid-translocating ATPase N-terminal,2,8,30,8.567140205935499e-07,5.382642298332676e-06,1.1
6382,6382,AAA domain,Fumarase C C-terminus,4,1791,8,8.592927200239759e-07,5.3890189784457846e-06,1.61
14129,14129,DeoR C terminal sensor domain,"Prephenate dehydrogenase, nucleotide-binding domain",4,141,84,8.590395193379572e-07,5.3890189784457846e-06,1.61
15213,15213,DeoR C terminal sensor domain,S4 domain,4,141,84,8.590395193379572e-07,5.3890189784457846e-06,1.61
14139,14139,DeoR C terminal sensor domain,"Prephenate dehydrogenase, dimerization domain",4,141,84,8.590395193379572e-07,5.3890189784457846e-06,1.61
6379,6379,AAA domain,Lyase,4,1791,8,8.592927200239759e-07,5.3890189784457846e-06,1.61
14907,14907,"Bifunctional DNA primase/polymerase, N-terminal","DNA primase catalytic core, N-terminal domain",8,408,299,8.589538012292337e-07,5.3890189784457846e-06,2.2
14680,14680,GA module,Putative adhesive domain (group 17),2,41,6,8.651956020827903e-07,5.424393409419604e-06,1.1
7204,7204,Major Facilitator Superfamily,"Threonine/Serine exporter, ThrE",2,17,14,8.704589214350047e-07,5.445833318762964e-06,1.1
246,246,Heterokaryon incompatibility protein Het-C,Large polyvalent protein-associated domain 3,2,14,17,8.704589214350047e-07,5.445833318762964e-06,1.1
7208,7208,Major Facilitator Superfamily,Type IV leader peptidase family,2,17,14,8.704589214350047e-07,5.445833318762964e-06,1.1
7203,7203,Major Facilitator Superfamily,Putative threonine/serine exporter,2,17,14,8.704589214350047e-07,5.445833318762964e-06,1.1
8867,8867,Anti-CBASS protein Acb1-like,Large polyvalent protein-associated domain 3,2,14,17,8.704589214350047e-07,5.445833318762964e-06,1.1
247,247,Large polyvalent protein-associated domain 3,PAAR motif,2,17,14,8.704589214350047e-07,5.445833318762964e-06,1.1
7209,7209,Bacterial Peptidase A24 N-terminal domain,Major Facilitator Superfamily,2,14,17,8.704589214350047e-07,5.445833318762964e-06,1.1
2981,2981,Divergent InlB B-repeat domain,RTX calcium-binding nonapeptide repeat (4 copies),13,1034,378,8.721357482408169e-07,5.454673583295636e-06,2.64
9588,9588,HEAT repeats,Outer membrane lipoprotein,2,24,10,8.735674513219912e-07,5.4619758666419145e-06,1.1
662,662,Choline-binding repeat,Secretion system C-terminal sorting domain,34,1581,1403,8.764245686736828e-07,5.47818343605373e-06,3.56
17952,17952,Acyl transferase domain,"Bifunctional DNA primase/polymerase, N-terminal",4,30,408,8.816973278589989e-07,5.499693942976326e-06,1.61
17953,17953,"Beta-ketoacyl synthase, N-terminal domain","Bifunctional DNA primase/polymerase, N-terminal",4,30,408,8.816973278589989e-07,5.499693942976326e-06,1.61
4620,4620,Domain of unknown function (DUF4430),"Sialidase, N-terminal domain",2,20,12,8.819937667412824e-07,5.499693942976326e-06,1.1
17954,17954,"Beta-ketoacyl synthase, C-terminal domain","Bifunctional DNA primase/polymerase, N-terminal",4,30,408,8.816973278589989e-07,5.499693942976326e-06,1.61
4624,4624,BNR repeat-like domain,Domain of unknown function (DUF4430),2,12,20,8.819937667412822e-07,5.499693942976326e-06,1.1
17955,17955,"Bifunctional DNA primase/polymerase, N-terminal",KR domain,4,408,30,8.81697327858999e-07,5.499693942976326e-06,1.61
14803,14803,"Papain fold toxin 1, glutamine deamidase",Phage minor capsid protein 2,2,12,20,8.819937667412822e-07,5.499693942976326e-06,1.1
17765,17765,"Bifunctional DNA primase/polymerase, N-terminal","Overcoming lysogenization defect protein-like, TOPRIM domain",4,408,30,8.81697327858999e-07,5.499693942976326e-06,1.61
7306,7306,"Glycosyl hydrolases family 2, TIM barrel domain",Subtilase family,10,307,704,8.826004829545161e-07,5.501817963837965e-06,2.4
2749,2749,"Bacterial extracellular solute-binding proteins, family 3",PAS domain,20,263,3511,8.928872701050173e-07,5.564264642544135e-06,3.04
5983,5983,Bacterial Ig-like domain (group 3),Camelysin metallo-endopeptidase,4,275,44,8.935661240349825e-07,5.566817338557197e-06,1.61
7110,7110,Domain of unknown function (DUF927),Lrp/AsnC ligand binding domain,4,98,122,8.947682800290247e-07,5.572627628361489e-06,1.61
2560,2560,CRISPR Cas6 N-terminal domain,Cas6 N-terminal domain,4,383,32,8.970638455624896e-07,5.583757175683237e-06,1.61
15465,15465,AAA ATPase domain,DNA-dependent RNA polymerase,4,269,45,8.973654347727136e-07,5.583757175683237e-06,1.61
15464,15464,AAA ATPase domain,DNA-directed RNA polymerase N-terminal,4,269,45,8.973654347727136e-07,5.583757175683237e-06,1.61
5055,5055,Cna protein B-type domain,Domain of unknown function (DUF2341),4,339,36,8.996022397354271e-07,5.595991429304882e-06,1.61
14012,14012,His Kinase A (phospho-acceptor) domain,"Protein of unknown function, DUF484",10,4527,51,9.022158674834712e-07,5.61056165171601e-06,2.4
12646,12646,Caspase domain,Glycine cleavage H-protein,2,66,4,9.053902662755734e-07,5.628609301196642e-06,1.1
20243,20243,Domain of unknown function (DUF4347),Passenger-associated-transport-repeat,4,58,208,9.06789865465774e-07,5.63561588465158e-06,1.61
11068,11068,ATP dependent DNA ligase C terminal region,"DNA gyrase/topoisomerase IV, subunit A",2,42,6,9.084410093843402e-07,5.6424856566656665e-06,1.1
11065,11065,ATP dependent DNA ligase C terminal region,"Microbial-type PARG, catalytic domain",2,42,6,9.084410093843402e-07,5.6424856566656665e-06,1.1
18286,18286,Prokaryotic N-terminal methylation motif,Protein phosphatase 2C,4,340,36,9.101736076435616e-07,5.651549455028807e-06,1.61
37,37,Collagen triple helix repeat (20 copies),Tryptophan-ring motif of head of Trimeric autotransporter adhesin,3,334,10,9.155992695382858e-07,5.6835323014839794e-06,1.39
7408,7408,AAA ATPase domain,Helix-hairpin-helix domain,5,269,107,9.278412174213684e-07,5.757794973776e-06,1.79
5533,5533,Alkaline phosphatase,Penicillin binding protein transpeptidase domain,2,4,67,9.332410448947576e-07,5.789566482234894e-06,1.1
10718,10718,FG-GAP-like repeat,Immunoglobulin domain,5,225,128,9.378118171612668e-07,5.816177247583538e-06,1.79
