,Label1,Label2,Count
7945,LysM domain,S-layer homology domain,2
7946,S-layer homology domain,Transglycosylase SLT domain,2
7947,Lysozyme-like,S-layer homology domain,2
7948,"AIR synthase related protein, N-terminal domain",Alcohol dehydrogenase GroES-like domain,1
7949,"AIR synthase related protein, C-terminal domain",Alcohol dehydrogenase GroES-like domain,1
7950,Alcohol dehydrogenase GroES-like domain,DJ-1/PfpI family,2
7951,Alcohol dehydrogenase GroES-like domain,Helix-turn-helix domain,2
7952,"AIR synthase related protein, N-terminal domain",Zinc-binding dehydrogenase,1
7953,"AIR synthase related protein, C-terminal domain",Zinc-binding dehydrogenase,1
7954,DJ-1/PfpI family,Zinc-binding dehydrogenase,2
7955,Helix-turn-helix domain,Zinc-binding dehydrogenase,2
7956,FAD synthetase,"Glutathione S-transferase, C-terminal domain",2
7957,FAD synthetase,"Glutathione S-transferase, N-terminal domain",2
7958,FAD synthetase,NAD-dependent DNA ligase adenylation domain,2
7959,FAD synthetase,NAD-dependent DNA ligase OB-fold domain,2
7960,"Acyl-CoA dehydrogenase, N-terminal domain",FAD synthetase,2
7961,"Acyl-CoA dehydrogenase, middle domain",FAD synthetase,2
7962,"Glutathione S-transferase, C-terminal domain",Riboflavin kinase,2
7963,"Glutathione S-transferase, N-terminal domain",Riboflavin kinase,2
7964,NAD-dependent DNA ligase adenylation domain,Riboflavin kinase,2
7965,NAD-dependent DNA ligase OB-fold domain,Riboflavin kinase,2
7966,"Acyl-CoA dehydrogenase, N-terminal domain",Riboflavin kinase,2
7967,"Acyl-CoA dehydrogenase, middle domain",Riboflavin kinase,2
7968,AMIN domain,"L,D-transpeptidase catalytic domain",2
7969,AMIN domain,Putative peptidoglycan binding domain,4
7970,AMIN domain,Protein kinase domain,6
7971,AMIN domain,MORN repeat,2
7972,AMIN domain,Flagellar Assembly Protein A beta solenoid domain,2
7973,AMIN domain,Flagellar Assembly Protein A N-terminal region,2
7974,AMIN domain,WD40-like Beta Propeller Repeat,2
7975,"L,D-transpeptidase catalytic domain",N-acetylmuramoyl-L-alanine amidase,8
7976,N-acetylmuramoyl-L-alanine amidase,Putative peptidoglycan binding domain,6
7977,N-acetylmuramoyl-L-alanine amidase,Protein kinase domain,13
7978,MORN repeat,N-acetylmuramoyl-L-alanine amidase,2
7979,Flagellar Assembly Protein A beta solenoid domain,N-acetylmuramoyl-L-alanine amidase,2
7980,Flagellar Assembly Protein A N-terminal region,N-acetylmuramoyl-L-alanine amidase,2
7981,N-acetylmuramoyl-L-alanine amidase,WD40-like Beta Propeller Repeat,4
7982,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,4
7983,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,N-acetylmuramoyl-L-alanine amidase,6
7984,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,5
7985,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,Y_Y_Y domain,5
7986,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,Two component regulator propeller,2
7987,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,Propeptide_C25,2
7988,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,Peptidase family C25,2
7989,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Putative cell wall binding repeat,5
7990,Putative cell wall binding repeat,S-layer homology domain,8
7991,CARDB,Putative cell wall binding repeat,9
7992,Propeptide_C25,Putative cell wall binding repeat,2
7993,Peptidase family C25,Putative cell wall binding repeat,2
7994,IclR helix-turn-helix domain,Toprim domain,3
7995,DNA gyrase B,IclR helix-turn-helix domain,1
7996,"DNA gyrase B subunit, carboxyl terminus",IclR helix-turn-helix domain,1
7997,IclR helix-turn-helix domain,TnsA-like endonuclease N terminal,3
7998,IclR helix-turn-helix domain,TnsA endonuclease C terminal,3
7999,IclR helix-turn-helix domain,Transcription factor TFIIB repeat,2
8000,IclR helix-turn-helix domain,TFIIB zinc-binding,2
8001,DnaB-like helicase C terminal domain,IclR helix-turn-helix domain,2
8002,IclR helix-turn-helix domain,Toprim-like,3
8003,Putative ATP-dependent DNA helicase recG C-terminal,Toprim domain,5
8004,DNA gyrase B,Putative ATP-dependent DNA helicase recG C-terminal,7
8005,"DNA gyrase B subunit, carboxyl terminus",Putative ATP-dependent DNA helicase recG C-terminal,1
8006,Putative ATP-dependent DNA helicase recG C-terminal,Transcription factor TFIIB repeat,4
8007,Putative ATP-dependent DNA helicase recG C-terminal,TFIIB zinc-binding,4
8008,"Schlafen, AlbA_2",Toprim domain,5
8009,DNA gyrase B,"Schlafen, AlbA_2",7
8010,"DNA gyrase B subunit, carboxyl terminus","Schlafen, AlbA_2",1
8011,"Schlafen, AlbA_2",TnsA-like endonuclease N terminal,13
8012,"Schlafen, AlbA_2",TnsA endonuclease C terminal,13
8013,"Schlafen, AlbA_2",Transcription factor TFIIB repeat,4
8014,"Schlafen, AlbA_2",TFIIB zinc-binding,4
8015,"Schlafen, AlbA_2",Toprim-like,4
8016,4Fe-4S dicluster domain,Helicase conserved C-terminal domain,2
8017,Cysteine-rich domain,Helicase conserved C-terminal domain,2
8018,4Fe-4S dicluster domain,DEAD/DEAH box helicase,2
8019,Cysteine-rich domain,DEAD/DEAH box helicase,2
8020,AAA ATPase domain,"DNA polymerase family B, exonuclease domain",4
8021,AAA ATPase domain,DNA polymerase family B,4
8022,"AAA domain, putative AbiEii toxin, Type IV TA system","DNA polymerase family B, exonuclease domain",4
8023,"AAA domain, putative AbiEii toxin, Type IV TA system",DNA polymerase family B,4
8024,"Oligopeptide/dipeptide transporter, C-terminal region",R3H domain,2
8025,Jag N-terminus,"Oligopeptide/dipeptide transporter, C-terminal region",2
8026,"KhpA/KhpB, KH domain","Oligopeptide/dipeptide transporter, C-terminal region",2
8027,Helix-hairpin-helix motif,"Oligopeptide/dipeptide transporter, C-terminal region",2
8028,NUDIX domain,"Oligopeptide/dipeptide transporter, C-terminal region",2
8029,HhH-GPD superfamily base excision DNA repair protein,"Oligopeptide/dipeptide transporter, C-terminal region",2
8030,Iron-sulfur binding domain of endonuclease III,"Oligopeptide/dipeptide transporter, C-terminal region",2
8031,N-terminal TM domain of oligopeptide transport permease C,R3H domain,2
8032,Jag N-terminus,N-terminal TM domain of oligopeptide transport permease C,2
8033,"KhpA/KhpB, KH domain",N-terminal TM domain of oligopeptide transport permease C,2
8034,Helix-hairpin-helix motif,N-terminal TM domain of oligopeptide transport permease C,2
8035,N-terminal TM domain of oligopeptide transport permease C,NUDIX domain,2
8036,HhH-GPD superfamily base excision DNA repair protein,N-terminal TM domain of oligopeptide transport permease C,2
8037,Iron-sulfur binding domain of endonuclease III,N-terminal TM domain of oligopeptide transport permease C,2
8038,ABC transporter,NUDIX domain,2
8039,ABC transporter,Iron-sulfur binding domain of endonuclease III,2
8040,"Lactonase, 7-bladed beta-propeller",Putative cell wall binding repeat,4
8041,Alpha-L-fucosidase,Putative cell wall binding repeat,4
8042,"Lactonase, 7-bladed beta-propeller",Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,4
8043,Alpha-L-fucosidase,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,4
8044,"L,D-transpeptidase catalytic domain",Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,6
8045,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",N-acetylmuramoyl-L-alanine amidase,2
8046,N-acetylmuramoyl-L-alanine amidase,Y_Y_Y domain,6
8047,N-acetylmuramoyl-L-alanine amidase,Sulfatase-modifying factor enzyme 1,2
8048,N-acetylmuramoyl-L-alanine amidase,Two component regulator propeller,5
8049,CARDB,N-acetylmuramoyl-L-alanine amidase,2
8050,"Lactonase, 7-bladed beta-propeller",N-acetylmuramoyl-L-alanine amidase,2
8051,Alpha-L-fucosidase,N-acetylmuramoyl-L-alanine amidase,2
8052,Choline-binding repeat,"Lactonase, 7-bladed beta-propeller",4
8053,Alpha-L-fucosidase,Choline-binding repeat,4
8054,"Tetracyclin repressor-like, C-terminal domain","Tetracyclin repressor-like, C-terminal domain",43
8055,Domain of unknown function (DUF2341),LPXTG cell wall anchor motif,5
8056,Domain of unknown function (DUF2341),Prealbumin-like fold domain,4
8057,Concanavalin A-like lectin/glucanases superfamily,Prealbumin-like fold domain,4
8058,"Gram-positive pilin subunit D1, N-terminal domain",Thioester domain,2
8059,Cna protein B-type domain,"Gram-positive pilin subunit D1, N-terminal domain",2
8060,Collagen binding domain,"Gram-positive pilin subunit D1, N-terminal domain",2
8061,"Gram-positive pilin subunit D1, N-terminal domain",Spy0128-like isopeptide containing domain,2
8062,"Gram-positive pilin subunit D1, N-terminal domain",von Willebrand factor type A domain,2
8063,"Gram-positive pilin subunit D1, N-terminal domain",SdrD B-like domain,2
8064,Bacterial Ig domain,"Gram-positive pilin subunit D1, N-terminal domain",2
8065,C-terminus of bacterial fibrinogen-binding adhesin,"Gram-positive pilin subunit D1, N-terminal domain",2
8066,Domain of unknown function (DUF2341),"Gram-positive pilin subunit D1, N-terminal domain",2
8067,Concanavalin A-like lectin/glucanases superfamily,"Gram-positive pilin subunit D1, N-terminal domain",2
8068,"Gram-positive pilin subunit D1, N-terminal domain",T-Q ester bond containing domain,2
8069,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",Glycosyl transferases group 1,4
8070,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",Glycosyl transferase 4-like,2
8071,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",Glycosyl transferases group 1,4
8072,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",Glycosyl transferase 4-like,2
8073,Divergent InlB B-repeat domain,Leucine Rich repeats (2 copies),3
8074,Divergent InlB B-repeat domain,Fimbrillin-like,2
8075,Cysteine-rich secretory protein family,Divergent InlB B-repeat domain,3
8076,Divergent InlB B-repeat domain,Periplasmic copper-binding protein (NosD),6
8077,Divergent InlB B-repeat domain,Domain of unknown function (DUF3244),2
8078,Divergent InlB B-repeat domain,PQQ enzyme repeat,2
8079,Divergent InlB B-repeat domain,Right handed beta helix region,4
8080,Divergent InlB B-repeat domain,PQQ-like domain,3
8081,BspA type Leucine rich repeat region (6 copies),PQQ enzyme repeat,7
8082,BspA type Leucine rich repeat region (6 copies),PQQ-like domain,7
8083,CRISPR-associated negative auto-regulator DevR/Csa2,CRISPR-associated protein (Cas_Cas5),1
8084,CRISPR-associated negative auto-regulator DevR/Csa2,CRISPR-associated negative auto-regulator DevR/Csa2,1
8085,CRISPR-associated protein (Cas_Cas5),tRNA (adenine(22)-N(1))-methyltransferase,1
8086,CRISPR-associated negative auto-regulator DevR/Csa2,tRNA (adenine(22)-N(1))-methyltransferase,1
8087,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,TIR domain,2
8088,GDSL-like Lipase/Acylhydrolase family,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,2
8089,Putative cell wall binding repeat,TIR domain,4
8090,Choline-binding repeat,TIR domain,4
8091,"Type III restriction enzyme, res subunit",impB/mucB/samB family,4
8092,Domain of unknown function (DUF4113),"Type III restriction enzyme, res subunit",4
8093,"Type III restriction enzyme, res subunit",impB/mucB/samB family C-terminal domain,4
8094,Helicase conserved C-terminal domain,impB/mucB/samB family,4
8095,Domain of unknown function (DUF4113),Helicase conserved C-terminal domain,4
8096,Helicase conserved C-terminal domain,impB/mucB/samB family C-terminal domain,4
8097,Autotransporter beta-domain,TraQ conjugal transfer protein,2
8098,Autochaperone Domain Type 1,TraQ conjugal transfer protein,2
8099,Passenger-associated-transport-repeat,TraQ conjugal transfer protein,2
8100,Leucine Rich Repeat,TraQ conjugal transfer protein,3
8101,Leucine rich repeat N-terminal domain,TraQ conjugal transfer protein,3
8102,Calx-beta domain,TraQ conjugal transfer protein,3
8103,Autotransporter beta-domain,Conjugative transposon protein TraO,2
8104,Autochaperone Domain Type 1,Conjugative transposon protein TraO,2
8105,Conjugative transposon protein TraO,Passenger-associated-transport-repeat,2
8106,Conjugative transposon protein TraO,Leucine Rich Repeat,3
8107,Conjugative transposon protein TraO,Leucine rich repeat N-terminal domain,3
8108,Calx-beta domain,Conjugative transposon protein TraO,3
8109,Dimerisation domain of Zinc Transporter,"Iron dependent repressor, metal binding and dimerisation domain",4
8110,Cation efflux family,"Iron dependent repressor, metal binding and dimerisation domain",4
8111,Dimerisation domain of Zinc Transporter,"Iron dependent repressor, N-terminal DNA binding domain",4
8112,Cation efflux family,"Iron dependent repressor, N-terminal DNA binding domain",4
8113,ABC 3 transport family,Dimerisation domain of Zinc Transporter,4
8114,ABC 3 transport family,Cation efflux family,4
8115,Dimerisation domain of Zinc Transporter,FeoA domain,4
8116,Cation efflux family,FeoA domain,4
8117,Helix-turn-helix,SMODS-associated and fused to various effectors sensor domain,4
8118,Peptidase S24-like,SMODS-associated and fused to various effectors sensor domain,2
8119,Helix-turn-helix,TIR domain,9
8120,Peptidase S24-like,TIR domain,8
8121,Bacteriophage CI repressor helix-turn-helix domain,Peptidase S24-like,4
8122,Bacteriophage CI repressor helix-turn-helix domain,Helix-turn-helix,2
8123,Peptidase family M23,Putative peptidoglycan binding domain,1
8124,"L,D-transpeptidase catalytic domain",Peptidase family M23,1
8125,Peptidase family M23,Protein of unknown function (DUF3048) N-terminal domain,2
8126,Peptidase family M23,Protein of unknown function (DUF3048) C-terminal domain,2
8127,"Glutamyl-tRNAGlu reductase, dimerisation domain","Schlafen, AlbA_2",2
8128,"Glutamyl-tRNAGlu reductase, dimerisation domain",Putative ATP-dependent DNA helicase recG C-terminal,2
8129,"Glutamyl-tRNAGlu reductase, dimerisation domain",SIS domain,4
8130,"Glutamyl-tRNAGlu reductase, dimerisation domain","Helix-turn-helix domain, rpiR family",4
8131,"Glutamyl-tRNAGlu reductase, dimerisation domain",Respiratory-chain NADH dehydrogenase 51 Kd subunit,2
8132,4Fe-4S dicluster domain,"Glutamyl-tRNAGlu reductase, dimerisation domain",2
8133,"Glutamyl-tRNAGlu reductase, dimerisation domain",RnfC Barrel sandwich hybrid domain,2
8134,"Glutamyl-tRNAGlu reductase, dimerisation domain",SLBB domain,2
8135,"Glutamyl-tRNAGlu reductase, dimerisation domain",Stage II sporulation protein E (SpoIIE),2
8136,GAF domain,"Glutamyl-tRNAGlu reductase, dimerisation domain",2
8137,"Glutamyl-tRNAGlu reductase, dimerisation domain",TnsA-like endonuclease N terminal,2
8138,"Glutamyl-tRNAGlu reductase, dimerisation domain",TnsA endonuclease C terminal,2
8139,"Schlafen, AlbA_2",Shikimate / quinate 5-dehydrogenase,2
8140,Putative ATP-dependent DNA helicase recG C-terminal,Shikimate / quinate 5-dehydrogenase,4
8141,SIS domain,Shikimate / quinate 5-dehydrogenase,4
8142,"Helix-turn-helix domain, rpiR family",Shikimate / quinate 5-dehydrogenase,4
8143,Respiratory-chain NADH dehydrogenase 51 Kd subunit,Shikimate / quinate 5-dehydrogenase,2
8144,4Fe-4S dicluster domain,Shikimate / quinate 5-dehydrogenase,2
8145,RnfC Barrel sandwich hybrid domain,Shikimate / quinate 5-dehydrogenase,2
8146,SLBB domain,Shikimate / quinate 5-dehydrogenase,2
8147,Shikimate / quinate 5-dehydrogenase,Stage II sporulation protein E (SpoIIE),2
8148,GAF domain,Shikimate / quinate 5-dehydrogenase,2
8149,"Glutamyl-tRNAGlu reductase, N-terminal domain","Schlafen, AlbA_2",2
8150,"Glutamyl-tRNAGlu reductase, N-terminal domain",Putative ATP-dependent DNA helicase recG C-terminal,4
8151,"Glutamyl-tRNAGlu reductase, N-terminal domain",SIS domain,4
8152,"Glutamyl-tRNAGlu reductase, N-terminal domain","Helix-turn-helix domain, rpiR family",4
8153,"Glutamyl-tRNAGlu reductase, N-terminal domain",Respiratory-chain NADH dehydrogenase 51 Kd subunit,2
8154,4Fe-4S dicluster domain,"Glutamyl-tRNAGlu reductase, N-terminal domain",2
8155,"Glutamyl-tRNAGlu reductase, N-terminal domain",RnfC Barrel sandwich hybrid domain,2
8156,"Glutamyl-tRNAGlu reductase, N-terminal domain",SLBB domain,2
8157,"Glutamyl-tRNAGlu reductase, N-terminal domain",Stage II sporulation protein E (SpoIIE),2
8158,GAF domain,"Glutamyl-tRNAGlu reductase, N-terminal domain",2
8159,Bacterial SH3 domain,ell wall binding domain 2 (CWB2),2
8160,Bacterial SH3 domain,Transglutaminase-like domain,2
8161,NlpC/P60 family,ell wall binding domain 2 (CWB2),2
8162,NlpC/P60 family,Transglutaminase-like domain,2
8163,Helix-turn-helix domain,"Sigma-54, DNA binding domain",3
8164,Helix-turn-helix domain,"Sigma-54 factor, Activator interacting domain (AID)",3
8165,Helix-turn-helix domain,"Sigma-54 factor, core binding domain",3
8166,HRDC domain,Helix-turn-helix domain,2
8167,Probable transposase,"Sigma-54, DNA binding domain",4
8168,Probable transposase,"Sigma-54 factor, Activator interacting domain (AID)",4
8169,Probable transposase,"Sigma-54 factor, core binding domain",4
8170,HRDC domain,Probable transposase,5
8171,FCD domain,"Mechanosensitive ion channel, beta-domain",2
8172,FCD domain,"Mechanosensitive ion channel MscS, C-terminal",2
8173,FCD domain,"Mechanosensitive ion channel, transmembrane helices 2/3",2
8174,FCD domain,Protein of unknown function (DUF1601),2
8175,FCD domain,RAP domain,2
8176,FCD domain,Tetratricopeptide repeat,2
8177,FCD domain,Sel1 repeat,2
8178,"Bacterial regulatory proteins, gntR family","Mechanosensitive ion channel, beta-domain",2
8179,"Bacterial regulatory proteins, gntR family","Mechanosensitive ion channel MscS, C-terminal",2
8180,"Bacterial regulatory proteins, gntR family","Mechanosensitive ion channel, transmembrane helices 2/3",2
8181,"Bacterial regulatory proteins, gntR family",Protein of unknown function (DUF1601),2
8182,"Bacterial regulatory proteins, gntR family",RAP domain,2
8183,"Bacterial regulatory proteins, gntR family",Tetratricopeptide repeat,2
8184,"Bacterial regulatory proteins, gntR family",Sel1 repeat,2
8185,CHU_C Type IX secretion signal domain,Domain of unknown function (DUF5776),2
8186,CHU_C Type IX secretion signal domain,MucBP domain,2
8187,CHU_C Type IX secretion signal domain,"Mycoplasma protein of unknown function, DUF285",8
8188,CHU_C Type IX secretion signal domain,Collagen triple helix repeat (20 copies),2
8189,CHU_C Type IX secretion signal domain,Domain of unknown function (DUF4397),2
8190,CHU_C Type IX secretion signal domain,The GLUG motif,2
8191,CHU_C Type IX secretion signal domain,"Heme-binding protein Shr-like, Hb-interacting domain",2
8192,CHU_C Type IX secretion signal domain,S-layer homology domain,11
8193,CHU_C Type IX secretion signal domain,Carboxypeptidase regulatory-like domain,4
8194,CHU_C Type IX secretion signal domain,SdrD B-like domain,8
8195,CHU_C Type IX secretion signal domain,PKD domain,13
8196,CHU_C Type IX secretion signal domain,Putative metal-binding motif,3
8197,CHU_C Type IX secretion signal domain,Neisseria PilC beta-propeller domain,2
8198,Bacterial Ig domain,Domain of unknown function (DUF5776),2
8199,Bacterial Ig domain,MucBP domain,2
8200,Bacterial Ig domain,"Mycoplasma protein of unknown function, DUF285",13
8201,Bacterial Ig domain,Collagen triple helix repeat (20 copies),4
8202,Bacterial Ig domain,Domain of unknown function (DUF4397),2
8203,Bacterial Ig domain,The GLUG motif,2
8204,Bacterial Ig domain,"Heme-binding protein Shr-like, Hb-interacting domain",2
8205,Bacterial Ig domain,S-layer homology domain,18
8206,Bacterial Ig domain,Carboxypeptidase regulatory-like domain,2
8207,Bacterial Ig domain,SdrD B-like domain,4
8208,Bacterial Ig domain,PKD domain,16
8209,Bacterial Ig domain,Putative metal-binding motif,5
8210,Bacterial Ig domain,Neisseria PilC beta-propeller domain,4
8211,PAM-interacting domain of CRISPR-associated endonuclease Cas9,"RNA polymerase Rpb1, domain 5",8
8212,PAM-interacting domain of CRISPR-associated endonuclease Cas9,"RNA polymerase Rpb2, domain 3",8
8213,PAM-interacting domain of CRISPR-associated endonuclease Cas9,"RNA polymerase Rpb2, domain 6",8
8214,PAM-interacting domain of CRISPR-associated endonuclease Cas9,"RNA polymerase Rpb1, domain 2",8
8215,Helix-turn-helix domain,zinc-finger of transposase IS204/IS1001/IS1096/IS1165,2
8216,Helix-turn-helix domain,Transposase,6
8217,Integrase core domain,zinc-finger of transposase IS204/IS1001/IS1096/IS1165,4
8218,Periplasmic binding protein-like domain,"Transketolase, thiamine diphosphate binding domain",2
8219,Periplasmic binding protein-like domain,"Transketolase, C-terminal domain",2
8220,"Initiator Replication protein, WH1",Peptidase family M41,2
8221,"Initiator Rep protein, WH2",Peptidase family M41,2
8222,PDZ domain,Peptidase family M41,2
8223,Peptidase family M41,Peptidase family M50,2
8224,Penicillin-binding Protein dimerisation domain,Peptidase family M41,2
8225,NTF2-like N-terminal transpeptidase domain,Peptidase family M41,2
8226,AhpC/TSA family,Peptidase family M41,2
8227,Domain of unknown function (DUF4369),Peptidase family M41,2
8228,AAA+ lid domain,"Initiator Replication protein, WH1",2
8229,AAA+ lid domain,"Initiator Rep protein, WH2",2
8230,AAA+ lid domain,PDZ domain,2
8231,AAA+ lid domain,Peptidase family M50,2
8232,AAA+ lid domain,Penicillin-binding Protein dimerisation domain,2
8233,AAA+ lid domain,NTF2-like N-terminal transpeptidase domain,2
8234,AAA+ lid domain,AhpC/TSA family,2
8235,AAA+ lid domain,Domain of unknown function (DUF4369),2
8236,ATPase family associated with various cellular activities (AAA),"Initiator Replication protein, WH1",2
8237,ATPase family associated with various cellular activities (AAA),"Initiator Rep protein, WH2",2
8238,ATPase family associated with various cellular activities (AAA),PDZ domain,2
8239,ATPase family associated with various cellular activities (AAA),Peptidase family M50,2
8240,ATPase family associated with various cellular activities (AAA),Penicillin-binding Protein dimerisation domain,2
8241,ATPase family associated with various cellular activities (AAA),NTF2-like N-terminal transpeptidase domain,2
8242,ATPase family associated with various cellular activities (AAA),AhpC/TSA family,2
8243,ATPase family associated with various cellular activities (AAA),Domain of unknown function (DUF4369),2
8244,ATP-dependent RecD-like DNA helicase SH3 domain,Helix-hairpin-helix containing domain,2
8245,Helix-hairpin-helix containing domain,Helix-hairpin-helix containing domain,2
8246,Choline-binding repeat,Domain of unknown function (DUF4982),6
8247,Choline-binding repeat,O-Glycosyl hydrolase family 30,8
8248,Bacterial Ig-like domain (group 4),Choline-binding repeat,5
8249,Domain of unknown function (DUF4982),Subtilase family,6
8250,O-Glycosyl hydrolase family 30,Subtilase family,15
8251,Subtilase family,"Transcriptional regulatory protein, C terminal",4
8252,Ricin-type beta-trefoil lectin domain-like,Subtilase family,4
8253,Bacterial Ig-like domain (group 4),Subtilase family,7
8254,Glycosyl hydrolases family 11,Subtilase family,4
8255,Domain of unknown function (DUF4982),Putative cell wall binding repeat,6
8256,O-Glycosyl hydrolase family 30,Putative cell wall binding repeat,8
8257,Helix-turn-helix,Recombinase,5
8258,"HTH-type transcriptional regulator Rgg, C-terminal domain",Recombinase,3
8259,"HTH-type transcriptional regulator Rgg, C-terminal domain",Helix-turn-helix,4
8260,Bacterial Ig domain,YSIRK type signal peptide,14
8261,Bacterial Ig domain,C-terminus of bacterial fibrinogen-binding adhesin,11
8262,Bacterial Ig domain,Bacterial Ig domain,21
8263,Collagen binding domain,YSIRK type signal peptide,4
8264,C-terminus of bacterial fibrinogen-binding adhesin,Collagen binding domain,6
8265,Bacterial Ig domain,Collagen binding domain,8
8266,Bacterial DNA polymerase III alpha subunit finger domain,CRISPR associated protein Cas1,11
8267,CRISPR associated protein Cas1,PHP domain,11
8268,Bacterial DNA polymerase III alpha NTPase domain,CRISPR associated protein Cas1,11
8269,CRISPR associated protein Cas1,Helix-hairpin-helix motif,17
8270,CRISPR associated protein Cas1,MnmE helical domain,2
8271,50S ribosome-binding GTPase,CRISPR associated protein Cas1,2
8272,Bacterial DNA polymerase III alpha subunit finger domain,Reverse transcriptase (RNA-dependent DNA polymerase),11
8273,PHP domain,Reverse transcriptase (RNA-dependent DNA polymerase),11
8274,Bacterial DNA polymerase III alpha NTPase domain,Reverse transcriptase (RNA-dependent DNA polymerase),11
8275,Helix-hairpin-helix motif,Reverse transcriptase (RNA-dependent DNA polymerase),17
8276,MnmE helical domain,Reverse transcriptase (RNA-dependent DNA polymerase),2
8277,50S ribosome-binding GTPase,Reverse transcriptase (RNA-dependent DNA polymerase),2
8278,Amino acid kinase family,Toprim-like,2
8279,Amino acid kinase family,Protein of unknown function (DUF3991),2
8280,Amino acid kinase family,HsdM N-terminal domain,2
8281,Amino acid kinase family,N-6 DNA Methylase,2
8282,Amino acid kinase family,"Bacterial regulatory proteins, gntR family",2
8283,Amino acid kinase family,Aminotransferase class I and II,2
8284,ACT domain,Toprim-like,2
8285,ACT domain,Protein of unknown function (DUF3991),2
8286,ACT domain,HsdM N-terminal domain,2
8287,ACT domain,N-6 DNA Methylase,2
8288,ACT domain,"Bacterial regulatory proteins, gntR family",4
8289,ACT domain,Aminotransferase class I and II,2
8290,SurA-like N-terminal domain,pfkB family carbohydrate kinase,2
8291,PPIC-type PPIASE domain,pfkB family carbohydrate kinase,2
8292,Ion channel,SurA-like N-terminal domain,2
8293,Ion channel,PPIC-type PPIASE domain,2
8294,"Initiator Replication protein, WH1",von Willebrand factor type A domain,9
8295,Bacterial extracellular solute-binding protein,"Initiator Replication protein, WH1",6
8296,"Initiator Rep protein, WH2",von Willebrand factor type A domain,9
8297,Bacterial extracellular solute-binding protein,"Initiator Rep protein, WH2",6
8298,MobA/MobL family,Putative ATP-dependent DNA helicase recG C-terminal,4
8299,Putative ATP-dependent DNA helicase recG C-terminal,S1 RNA binding domain,5
8300,Putative ATP-dependent DNA helicase recG C-terminal,Ribonuclease B OB domain,7
8301,Cold shock domain,Putative ATP-dependent DNA helicase recG C-terminal,7
8302,Putative ATP-dependent DNA helicase recG C-terminal,RNB domain,5
8303,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Putative ATP-dependent DNA helicase recG C-terminal,6
8304,MobA/MobL family,"Schlafen, AlbA_2",4
8305,AAA domain,"Schlafen, AlbA_2",8
8306,S1 RNA binding domain,"Schlafen, AlbA_2",5
8307,Ribonuclease B OB domain,"Schlafen, AlbA_2",5
8308,Cold shock domain,"Schlafen, AlbA_2",5
8309,RNB domain,"Schlafen, AlbA_2",5
8310,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase","Schlafen, AlbA_2",6
8311,"Schlafen, AlbA_2",Stage II sporulation protein E (SpoIIE),2
8312,GAF domain,"Schlafen, AlbA_2",2
8313,"Schlafen, AlbA_2",TrkA-C domain,2
8314,"Schlafen, AlbA_2",TrkA-N domain,2
8315,Putative ATP-dependent DNA helicase recG C-terminal,Stage II sporulation protein E (SpoIIE),3
8316,GAF domain,Putative ATP-dependent DNA helicase recG C-terminal,2
8317,Putative ATP-dependent DNA helicase recG C-terminal,TrkA-C domain,2
8318,Putative ATP-dependent DNA helicase recG C-terminal,TrkA-N domain,2
8319,ABC transporter,Ribonuclease-III-like,5
8320,ABC transporter,Double-stranded RNA binding motif,5
8321,ABC transporter,"Protein adenylyltransferase SoFic-like, C-terminal domain",2
8322,ABC transporter,Fic/DOC family,7
8323,ABC transporter,Fic/DOC family N-terminal,2
8324,ABC transporter transmembrane region,Ribonuclease-III-like,5
8325,ABC transporter transmembrane region,Double-stranded RNA binding motif,5
8326,ABC transporter transmembrane region,"Protein adenylyltransferase SoFic-like, C-terminal domain",2
8327,ABC transporter transmembrane region,Fic/DOC family,7
8328,ABC transporter transmembrane region,Fic/DOC family N-terminal,2
8329,"Mycoplasma protein of unknown function, DUF285",Prokaryotic N-terminal methylation motif,4
8330,Bacterial Ig-like domain (group 1),"Mycoplasma protein of unknown function, DUF285",4
